Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Utilities,Mobile,2025-02-08,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,VISA CARD ...9876,-34.11
Food,Groceries,09/05/2025,Denver CO,SPROUTS,SPROUTS  FARMERS  MAR  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-111.38
Food,Groceries,2025-07-13,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 07/13 KING SOOPERS #0083 DENVER CO,VISA CARD ...9876,-37.55
Food,Groceries,01/19/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-126.51
Dining,Fast Food,02/18/2025,Aurora CO,CHIPOTLE,PURCHASE  AUTHORIZED  ON  02/18  CHIPOTLE  0871  AURORA  CO,DEBIT CARD ...7761,-24.50
Bills,Insurance,2025-12-17,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-149.26
Cash,ATM,08/02/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 08/02 3521 N Tower Rd Aurora CO 000,DEBIT CARD ...7761,-31.69
Utilities,Internet,12/26/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 251226 CHM8J7W  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-87.75
Food,Groceries,06/27/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,VISA CARD ...9876,-76.11
Transfers,Zelle,01/18/2025,Online,ZELLE,ZELLE  TO    CHRIS  PATEL  ON  01/18  REF  #  HM52FKAXSN75  RENT,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-432.16
Transport,Tolls,2025-01-19,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-5.98
Home,Mortgage,10/29/2025,Online,PENNYMAC,PENNYMAC         CASH Oct 25 8724240334-0008 CUSTOMER NAME,VISA CARD ...9876,-2307.82
Rewards,Cash Back,2025-07-20,Online,CASH BACK,CASH BACK REDEMPTION REF 191539657,DEBIT CARD ...7761,69.43
Food,Groceries,08/02/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 08/02 COSTCO WHSE #1652 DENVER CO,VISA CARD ...9876,-375.68
Food,Convenience,05/13/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 05/13 7-ELEVEN CENTENNIAL CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-13.68
Food,Groceries,2025-06-13,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 06/13 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-36.79
Online,Shopping,2025-06-16,Online,AMAZON,AMAZON MKTPL*4TQS8VZKVX Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-106.29
Education,Student Loan,03/19/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250319 Q7ZXNSSBJH4     CUSTOMER NAME,DEBIT CARD ...7761,-298.23
Utilities,Mobile,06/15/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-33.54
Education,Student Loan,2025-07-24,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250724 KJ8CDPUZ4L4     CUSTOMER NAME,DEBIT CARD ...7761,-211.23
Rewards,Cash Back,2025-08-14,Online,CASH BACK,CASH BACK REDEMPTION REF 145265544,VISA CARD ...9876,69.27
Transfers,Zelle,10/09/2025,Online,ZELLE,ZELLE TO  JOHN DOE ON 10/09 REF # ZQLZLGLQK5NT RENT,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-305.20
Online,Shopping,2025-11-27,Online,AMAZON,AMAZON MKTPL*NRYEQTJ3HK Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-65.60
Transfers,Zelle,2025-10-15,Online,ZELLE,ZELLE TO  CHRIS PATEL ON 10/15 REF # RT6DW7SLPW3Y GROCERIES,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-280.85
Dining,Fast Food,2025-01-09,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 01/09 CHIPOTLE 0871 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-12.31
Utilities,Mobile,06/28/2025,Online,XFINITY MOBILE,XFINITY  MOBILE  888-936-4968  PA,VISA CARD ...9876,-61.88
Online,Shopping,2025-05-14,Online,AMAZON,  AMAZON  MKTPL*YFX6GSBDDZ  Amzn.com/bill  WA   ,DEBIT CARD ...7761,-36.09
Food,Groceries,2025-09-24,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 09/24 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-149.34
Utilities,Mobile,2025-07-10,Online,XFINITY MOBILE,XFINITY  MOBILE  888-936-4968  PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-24.03
Transfers,Online Transfer,04/07/2025,Online,,ONLINE TRANSFER REF D2HQCEB82U26R9SY78 TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-448.70
Online,Shopping,07/18/2025,Online,AMAZON,AMAZON MKTPL*ZB5VKC74Q3 Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-141.70
Transfers,Online Transfer,2025-11-18,Online,,ONLINE TRANSFER REF LBZ6M6B9YXFZEMJV3K TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-421.90
Dining,Fast Food,2025-05-30,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 05/30 CHIPOTLE 0871 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-16.93
Food,Convenience,01/07/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 01/07 7-ELEVEN CENTENNIAL CO,DEBIT CARD ...7761,-15.99
Home,Mortgage,2025-01-07,Online,PENNYMAC,PENNYMAC         CASH Jan 25 8450539016-0001 CUSTOMER NAME,VISA CARD ...9876,-2054.72
Food,Groceries,2025-06-15,Denver CO,COSTCO WHSE,  PURCHASE AUTHORIZED ON 06/15 COSTCO WHSE #1652 DENVER CO   ,VISA CARD ...9876,-270.97
Transfers,Zelle,2025-10-15,Online,ZELLE,ZELLE TO  NOAH WILSON ON 10/15 REF # WGT7TN7ULJWB UTILITIES,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-356.98
Food,Groceries,2025-03-19,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-97.92
Bills,Insurance,2025-06-21,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,VISA CARD ...9876,-112.33
Food,Groceries,2025-06-04,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 06/04 KING SOOPERS #0083 DENVER CO,VISA CARD ...9876,-65.17
Food,Groceries,12/11/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-124.22
Food,Groceries,08/05/2025,Denver CO,KING SOOPERS,PURCHASE  AUTHORIZED  ON  08/05  KING  SOOPERS  #0083  DENVER  CO,DEBIT CARD ...7761,-148.93
Food,Groceries,02/09/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-90.93
Bills,Insurance,10/27/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,DEBIT CARD ...7761,-108.54
Rewards,Cash Back,12/16/2025,Online,CASH BACK,CASH  BACK  REDEMPTION  REF  135661812,DEBIT CARD ...7761,40.20
Transfers,Zelle,2025-08-12,Online,ZELLE,ZELLE TO  CHRIS PATEL ON 08/12 REF # QL2PBLFT9HGR SCHOOL,DEBIT CARD ...7761,-154.65
Cash,ATM,01/12/2025,Aurora CO,ATM WITHDRAWAL,  ATM WITHDRAWAL AUTHORIZED ON 01/12 3521 N Tower Rd Aurora CO 000   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-56.92
Bills,Insurance,08/20/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,DEBIT CARD ...7761,-106.90
Cash,ATM,2025-09-26,Aurora CO,ATM WITHDRAWAL,ATM  WITHDRAWAL  AUTHORIZED  ON  09/26  3521  N  Tower  Rd  Aurora  CO  000,VISA CARD ...9876,-193.18
Online,Shopping,01/06/2025,Online,AMAZON,AMAZON MKTPL*TDBPZB63X7 Amzn.com/bill WA,DEBIT CARD ...7761,-27.62
Rewards,Cash Back,10/08/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 180259807,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,52.36
Food,Groceries,2025-01-05,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 01/05 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-245.34
Food,Groceries,03/18/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,VISA CARD ...9876,-56.59
Transfers,Online Transfer,2025-10-30,Online,,ONLINE TRANSFER REF UHR2XMNA5FXR8BGJSL TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-289.22
Utilities,Internet,03/25/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250325 MH6XH7H  CUSTOMER NAME,VISA CARD ...9876,-67.81
Food,Convenience,06/11/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 06/11 7-ELEVEN BOULDER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-3.82
Food,Convenience,2025-02-24,Aurora CO,7-ELEVEN,PURCHASE  AUTHORIZED  ON  02/24  7-ELEVEN  BOULDER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-3.16
Food,Convenience,07/31/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 07/31 7-ELEVEN AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-7.79
Transport,Tolls,2025-09-25,Denver CO,E 470 EXPRESS TOLLS,  E 470 EXPRESS TOLLS 303-5373470 CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-13.04
Education,Student Loan,03/03/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250303 XGFQTA5YY6L     CUSTOMER NAME,DEBIT CARD ...7761,-317.92
Online,Shopping,04/19/2025,Online,AMAZON,AMAZON MKTPL*G5QLTX6LP6 Amzn.com/bill WA,VISA CARD ...9876,-28.83
Food,Groceries,2025-01-06,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 01/06 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-71.52
Cash,ATM,2025-01-22,Aurora CO,ATM WITHDRAWAL,  ATM WITHDRAWAL AUTHORIZED ON 01/22 3521 N Tower Rd Aurora CO 000   ,DEBIT CARD ...7761,-132.50
Transport,Tolls,2025-06-24,Denver CO,E 470 EXPRESS TOLLS,E  470  EXPRESS  TOLLS  303-5373470  CO,DEBIT CARD ...7761,-6.70
Transfers,Online Transfer,01/05/2025,Online,,ONLINE  TRANSFER  REF  PKER6TXX4EFSCUJ4CZ  TO  SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-551.33
Cash,ATM,08/08/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 08/08 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-193.93
Food,Groceries,05/29/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 05/29 COSTCO WHSE #1652 DENVER CO,DEBIT CARD ...7761,-258.15
Transport,Tolls,2025-10-06,Denver CO,E 470 EXPRESS TOLLS,E  470  EXPRESS  TOLLS  303-5373470  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-8.95
Bills,Insurance,01/09/2025,Online,STATE FARM,STATE  FARM    INSURANCE  800-956-6310  IL,VISA CARD ...9876,-130.50
Food,Groceries,03/28/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 03/28 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-27.87
Online,Shopping,04/03/2025,Online,AMAZON,AMAZON  MKTPL*WLF3ZAX6GS  Amzn.com/bill  WA,DEBIT CARD ...7761,-102.52
Cash,ATM,2025-10-05,Aurora CO,ATM WITHDRAWAL,ATM  WITHDRAWAL  AUTHORIZED  ON  10/05  3521  N  Tower  Rd  Aurora  CO  000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-174.26
Utilities,Mobile,2025-06-25,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,DEBIT CARD ...7761,-29.20
Food,Groceries,12/23/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 12/23 KING SOOPERS #0083 DENVER CO,DEBIT CARD ...7761,-127.91
Online,Shopping,2025-12-16,Online,AMAZON,AMAZON MKTPL*U229K9Q566 Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-49.01
Transfers,Online Transfer,12/09/2025,Online,,  ONLINE  TRANSFER  REF  79QL3URBXSS9HM66AM  TO  SAVINGS   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-260.33
Home,Mortgage,2025-09-27,Online,PENNYMAC,PENNYMAC         CASH Sep 25 8992462336-0001 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-2375.01
Food,Groceries,2025-03-16,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 03/16 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-20.17
Food,Convenience,04/20/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 04/20 7-ELEVEN CENTENNIAL CO,DEBIT CARD ...7761,-4.49
Dining,Fast Food,2025-11-15,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 11/15 CHICK-FIL-A #03255 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-13.05
Food,Convenience,2025-01-09,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 01/09 7-ELEVEN BOULDER CO,DEBIT CARD ...7761,-5.32
Transfers,Online Transfer,09/10/2025,Online,,ONLINE TRANSFER REF 4DLBSGFRZ6KHF6BUBE TO SAVINGS,VISA CARD ...9876,-406.41
Online,Shopping,03/03/2025,Online,AMAZON,AMAZON MKTPL*YQ6Z6AMDBS Amzn.com/bill WA,VISA CARD ...9876,-151.75
Rewards,Cash Back,2025-05-08,Online,CASH BACK,CASH  BACK  REDEMPTION  REF  193996935,VISA CARD ...9876,75.17
Transfers,Zelle,2025-03-16,Online,ZELLE,ZELLE TO  CHRIS PATEL ON 03/16 REF # M32S5R36V2VF CAR,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-73.56
Rewards,Cash Back,10/12/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 153216038,VISA CARD ...9876,20.54
Food,Groceries,01/05/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 01/05 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-34.62
Transport,Tolls,2025-11-22,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-7.90
Utilities,Mobile,06/19/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-99.30
Food,Groceries,11/27/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 11/27 KING SOOPERS #0083 DENVER CO,DEBIT CARD ...7761,-16.32
Food,Groceries,06/19/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 06/19 COSTCO WHSE #1652 DENVER CO,VISA CARD ...9876,-383.12
Transfers,Online Transfer,10/23/2025,Online,,ONLINE TRANSFER REF YUZ9CW5JAKJZ9ABDE3 TO SAVINGS,DEBIT CARD ...7761,-259.08
Food,Groceries,08/24/2025,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  08/24  COSTCO  GAS  #1652  DENVER  CO,DEBIT CARD ...7761,-37.68
Rewards,Cash Back,2025-10-21,Online,CASH BACK,CASH BACK REDEMPTION REF 137138074,DEBIT CARD ...7761,69.89
Transport,Tolls,2025-02-10,Denver CO,E 470 EXPRESS TOLLS,E  470  EXPRESS  TOLLS  303-5373470  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-17.37
Utilities,Internet,03/08/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250308 PVAPHAT  CUSTOMER NAME,VISA CARD ...9876,-107.60
Cash,ATM,09/09/2025,Aurora CO,ATM WITHDRAWAL,  ATM  WITHDRAWAL  AUTHORIZED  ON  09/09  3521  N  Tower  Rd  Aurora  CO  000   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-87.86
Online,Shopping,01/05/2025,Online,AMAZON.COM,AMAZON MKTPL*YMES77BJA6 Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-75.92
Dining,Fast Food,10/02/2025,Aurora CO,CHICK-FIL-A,PURCHASE  AUTHORIZED  ON  10/02  CHICK-FIL-A  #03255  AURORA  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-17.88
Cash,ATM,2025-11-08,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 11/08 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-174.91
Food,Groceries,06/25/2025,Denver CO,SPROUTS,SPROUTS  FARMERS  MAR  DENVER  CO,VISA CARD ...9876,-53.85
Rewards,Cash Back,12/24/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 148687226,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,47.95
Transfers,Online Transfer,08/24/2025,Online,,ONLINE TRANSFER REF MW7NH5BVQHP3F9LCNH TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-196.88
Cash,ATM,04/01/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 04/01 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-128.17
Utilities,Internet,12/20/2025,Online,COMCAST,COMCAST-XFINITY    CABLE  SVCS  251220  Y3D2MXP    CUSTOMER  NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-71.33
Bills,Insurance,02/06/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,DEBIT CARD ...7761,-150.60
Utilities,Internet,2025-01-16,Online,COMCAST,  COMCAST-XFINITY  CABLE SVCS 250116 2TU7U8A  CUSTOMER NAME   ,VISA CARD ...9876,-74.54
Online,Shopping,2025-07-08,Online,AMAZON.COM,AMAZON MKTPL*L74P5VRFWU Amzn.com/bill WA,VISA CARD ...9876,-22.07
Education,Student Loan,07/09/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250709 YGJHP7X3Y3N     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-254.87
Utilities,Mobile,2025-12-06,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,DEBIT CARD ...7761,-84.28
Transport,Tolls,01/06/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-15.69
Rewards,Cash Back,05/25/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 199326206,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,73.61
Dining,Fast Food,2025-05-31,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 05/31 CHICK-FIL-A #03255 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-14.41
Online,Shopping,11/15/2025,Online,AMAZON,AMAZON MKTPL*MC52EXSBXG Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-107.93
Food,Groceries,08/12/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-38.80
Rewards,Cash Back,2025-04-16,Online,CASH BACK,CASH BACK REDEMPTION REF 198572752,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,55.49
Cash,ATM,2025-07-08,Aurora CO,ATM WITHDRAWAL,ATM  WITHDRAWAL  AUTHORIZED  ON  07/08  3521  N  Tower  Rd  Aurora  CO  000,DEBIT CARD ...7761,-116.10
Dining,Fast Food,03/29/2025,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 03/29 CHIPOTLE 0871 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-30.40
Utilities,Internet,2025-08-07,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250807 8TX53ZL  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-131.08
Food,Groceries,01/02/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 01/02 COSTCO GAS #1652 DENVER CO,DEBIT CARD ...7761,-48.66
Food,Convenience,2025-04-24,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 04/24 7-ELEVEN DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-4.43
Food,Groceries,2025-01-25,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 01/25 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-110.74
Food,Convenience,11/13/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 11/13 7-ELEVEN DENVER CO,DEBIT CARD ...7761,-15.42
Utilities,Internet,06/30/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250630 FX22R9M  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-123.88
Bills,Insurance,2025-03-15,Online,STATE FARM,  STATE FARM  INSURANCE 800-956-6310 IL   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-127.15
Food,Groceries,06/28/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 06/28 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-117.66
Dining,Fast Food,07/15/2025,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 07/15 CHICK-FIL-A #03255 AURORA CO,DEBIT CARD ...7761,-7.89
Online,Shopping,2025-10-08,Online,AMAZON,AMAZON MKTPL*A7SVR4DKQV Amzn.com/bill WA,DEBIT CARD ...7761,-78.46
Rewards,Cash Back,07/31/2025,Online,CASH BACK,CASH  BACK  REDEMPTION  REF  108181846,DEBIT CARD ...7761,40.92
Dining,Fast Food,07/26/2025,Aurora CO,CHICK-FIL-A,  PURCHASE AUTHORIZED ON 07/26 CHICK-FIL-A #03255 AURORA CO   ,VISA CARD ...9876,-10.55
Bills,Insurance,05/26/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-198.12
Rewards,Cash Back,2025-05-05,Online,CASH BACK,CASH BACK REDEMPTION REF 194434569,DEBIT CARD ...7761,39.37
Food,Groceries,2025-05-22,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-172.50
Transfers,Online Transfer,2025-09-22,Online,,  ONLINE TRANSFER REF CAPV8HRG9G74CG2KYD TO SAVINGS   ,VISA CARD ...9876,-372.68
Home,Mortgage,2025-09-26,Online,PENNYMAC,PENNYMAC         CASH Sep 25 8896348457-0003 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-2493.87
Cash,ATM,11/05/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 11/05 3521 N Tower Rd Aurora CO 000,VISA CARD ...9876,-119.27
Rewards,Cash Back,02/16/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 187555419,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,5.24
Food,Groceries,04/21/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 04/21 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-54.20
Education,Student Loan,02/12/2025,Online,DEPT EDUCATION,  DEPT EDUCATION   STUDENT LN 250212 5EBRSKM8P3J     CUSTOMER NAME   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-300.59
Online,Shopping,2025-07-31,Online,AMAZON.COM,  AMAZON MKTPL*TM3T9ED5BE Amzn.com/bill WA   ,DEBIT CARD ...7761,-19.83
Education,Student Loan,2025-08-20,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250820 Z4BLCAGLCLM     CUSTOMER NAME,VISA CARD ...9876,-318.98
Utilities,Internet,2025-11-16,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 251116 BYQHJTT  CUSTOMER NAME,VISA CARD ...9876,-120.40
Cash,ATM,05/09/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 05/09 3521 N Tower Rd Aurora CO 000,VISA CARD ...9876,-38.52
Food,Groceries,2025-03-26,Denver CO,COSTCO GAS,  PURCHASE AUTHORIZED ON 03/26 COSTCO GAS #1652 DENVER CO   ,VISA CARD ...9876,-53.04
Food,Groceries,10/25/2025,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  10/25  COSTCO  GAS  #1652  DENVER  CO,VISA CARD ...9876,-50.82
Food,Groceries,08/11/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 08/11 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-92.14
Food,Groceries,08/03/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-56.31
Transfers,Online Transfer,06/07/2025,Online,,ONLINE TRANSFER REF P4PVL83BWWBVJJH7DS TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-72.56
Cash,ATM,12/16/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 12/16 3521 N Tower Rd Aurora CO 000,DEBIT CARD ...7761,-25.35
Food,Convenience,07/17/2025,Aurora CO,7-ELEVEN,  PURCHASE  AUTHORIZED  ON  07/17  7-ELEVEN  BOULDER  CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-17.28
Online,Shopping,08/04/2025,Online,AMAZON,AMAZON MKTPL*STTPW2MSX9 Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-109.24
Cash,ATM,07/30/2025,Aurora CO,ATM WITHDRAWAL,  ATM WITHDRAWAL AUTHORIZED ON 07/30 3521 N Tower Rd Aurora CO 000   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-199.83
